Species	Common name	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession / source	contig N50 (bp)	scaffold N50 (bp)
Sylvicapra grimmia	bush duiker	119562	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Cephalophinae; Sylvicapra	HLsylGri1	GCA_006408735.1	9720	583330
Sylvilagus bachmani	brush rabbit	365149	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Lagomorpha; Leporidae; Sylvilagus	HLsylBac1	DNA Zoo Consortium	57936	110456461
Syncerus caffer	African buffalo	9970	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Syncerus	HLsynCaf1	GCA_902500845.1	2018310	69160875
Tachyglossus aculeatus	Australian echidna	9261	Mammalia; Prototheria; Monotremata; Tachyglossidae; Tachyglossus	HLtacAcu1	GCA_015852505.1	19859057	63379719
Tachyglossus aculeatus	Australian echidna	9261	Mammalia; Prototheria; Monotremata; Tachyglossidae; Tachyglossus	HLtacAcu2	GCF_015852505.1	19859057	63379719
Tadarida brasiliensis	Brazilian free-tailed bat	9438	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Molossidae; Tadarida	HLtadBra1	GCA_004025005.1	22617	24311
Talpa occidentalis	Iberian mole	50954	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Talpa	HLtalOcc1	GCA_014898055.1	2611709	119847213
Tamandua tetradactyla	southern tamandua	48850	Mammalia; Theria; Eutheria; Xenarthra; Pilosa; Vermilingua; Myrmecophagidae; Tamandua	HLtamTet1	GCA_004025105.1	18654	19789
Tapirus indicus	Asiatic tapir	9802	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapInd1	GCA_004024905.1	225792	308930
Tapirus indicus	Asiatic tapir	9802	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapInd2	DNA Zoo Consortium	155433	111226585
Tapirus terrestris	Brazilian tapir	9801	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapTer1	GCA_004025025.1	164193	186384
Tapirus terrestris	Brazilian tapir	9801	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Perissodactyla; Tapiridae; Tapirus	HLtapTer2	DNA Zoo Consortium	45588	47139982
Taxidea taxus jeffersonii	American badger	2282171	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Mustelidae; Taxidiinae; Taxidea; Taxidea taxus	HLtaxTax1	GCA_003697995.1	37750	54556
Theropithecus gelada	gelada	9565	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Cercopithecinae; Theropithecus	HLtheGel1	GCA_003255815.1	310061	130230028
Thryonomys swinderianus	Greater cane rat	10169	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Hystricomorpha; Thryonomyidae; Thryonomys	HLthrSwi1	GCA_004025085.1	18955	21523
Thylacinus cynocephalus	Tasmanian wolf	9275	Mammalia; Theria; Metatheria; Dasyuromorphia; Thylacinidae; Thylacinus	HLthyCyn1	GCA_007646695.1	461	1923833
Tolypeutes matacus	southern three-banded armadillo	183749	Mammalia; Theria; Eutheria; Xenarthra; Cingulata; Chlamyphoridae; Tolypeutes	HLtolMat1	GCA_004025125.1	9441	10217
Tonatia saurophila	stripe-headed round-eared bat	171122	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Chiroptera; Microchiroptera; Phyllostomidae; Phyllostominae; Tonatia	HLtonSau1	GCA_004024845.1	141649	165561
Trachypithecus francoisi	Francois's langur	54180	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Cercopithecoidea; Cercopithecidae; Colobinae; Trachypithecus	HLtraFra1	GCA_009764315.1	16182741	130977661
Tragelaphus imberbis	lesser kudu	9947	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Tragelaphus	HLtraImb1	GCA_006410775.1	12858	1775046
Tragelaphus scriptus	bushbuck	66440	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Tragelaphus	HLtraScr1	GCA_006410495.1	28350	890554
Tragelaphus strepsiceros	greater kudu	9946	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Pecora; Bovidae; Bovinae; Tragelaphus	HLtraStr1	GCA_006410795.1	33649	511483
Tragulus javanicus	Java mouse-deer	9849	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Tragulina; Tragulidae; Tragulus	HLtraJav1	GCA_004024965.2	80230	14082842
Tragulus kanchil	lesser mouse-deer	1088131	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Ruminantia; Tragulina; Tragulidae; Tragulus	HLtraKan1	GCA_006408655.1	13850	243497
Trichechus manatus	West Indian manatee	9778	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Trichechidae; Trichechus	HLtriManLat2	DNA Zoo Consortium	33836	143724118
Trichechus manatus latirostris	Florida manatee	127582	Mammalia; Theria; Eutheria; Afrotheria; Sirenia; Trichechidae; Trichechus; Trichechus manatus	triMan1	GCF_000243295.1	37750	14442683
Trichosurus vulpecula	common brushtail	9337	Mammalia; Theria; Metatheria; Diprotodontia; Phalangeridae; Trichosurus	HLtriVul1	GCA_011100635.1	4314688	442560073
Trichosurus vulpecula	common brushtail	9337	Mammalia; Theria; Metatheria; Diprotodontia; Phalangeridae; Trichosurus	HLtriVul2	GCF_011100635.1	4314688	442560073
Tupaia belangeri	northern tree shrew	37347	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Scandentia; Tupaiidae; Tupaia	tupBel1	GCA_000181375.1	2974	2974
Tupaia chinensis	Chinese tree shrew	246437	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Scandentia; Tupaiidae; Tupaia	tupChi1	GCF_000334495.1	25938	3670124
Tursiops aduncus	Indo-pacific bottlenose dolphin	79784	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturAdu1	GCA_003227395.1	206065	1235788
Tursiops aduncus	Indo-pacific bottlenose dolphin	79784	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturAdu2	DNA Zoo Consortium	197376	111961311
Tursiops truncatus	common bottlenose dolphin	9739	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturTru3	GCA_001922835.1	44299	26555543
Tursiops truncatus	common bottlenose dolphin	9739	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturTru4	GCA_011762595.1	9729386	108430135
Tursiops truncatus	common bottlenose dolphin	9739	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Delphinidae; Tursiops	HLturTru5	GCF_011762595.1	9729386	108430135
Urocitellus parryii	Arctic ground squirrel	9999	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Marmotini; Urocitellus	HLuroPar1	GCA_003426925.1	91013	3964291
Uromys caudimaculatus	giant uromys	36800	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Muroidea; Muridae; Murinae; Uromys	HLuroCau1	DNA Zoo Consortium	49189	99048585
Uropsilus gracilis	gracile shrew mole	182669	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Eulipotyphla; Talpidae; Uropsilus	HLuroGra1	GCA_004024945.1	43618	55035
Ursus americanus	American black bear	9643	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus	HLursAme1	GCA_003344425.1	27247	189900
Ursus americanus	American black bear	9643	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus	HLursAme2	DNA Zoo Consortium	25428	71790186
Ursus arctos horribilis	brown bear	116960	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus; Ursus arctos	HLursArc1	GCA_003584765.1	314844	36708181
Ursus maritimus	polar bear	29073	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus	ursMar1	GCF_000687225.1	46506	15940661
Ursus thibetanus thibetanus	Asiatic black bear	441215	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Ursidae; Ursus; Ursus thibetanus	HLursThi1	GCA_009660055.1	145966	26803000
Vicugna pacos	alpaca	30538	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna	HLvicPac4	DNA Zoo Consortium	23086	73726673
Vicugna pacos	alpaca	30538	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna	vicPac2	GCF_000164845.1	24617	7263804
Vicugna pacos huacaya	alpaca	273913	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna; Vicugna pacos	HLvicPacHua3	GCA_000767525.1	213649	5303709
Vicugna vicugna mensalis	vicugna	273917	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Tylopoda; Camelidae; Vicugna; Vicugna vicugna	HLvicVicMen1	GCA_013265495.1	340839	6158010
Vombatus ursinus	common wombat	29139	Mammalia; Theria; Metatheria; Diprotodontia; Vombatidae; Vombatus	HLvomUrs1	GCA_900497805.2	113054	28503419
Vulpes lagopus	Arctic fox	494514	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Vulpes	HLvulLag1	GCA_004023825.1	73976	102053
Vulpes vulpes	red fox	9627	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Vulpes	HLvulVul1	GCA_003160815.1	55450	12472085
Vulpes vulpes	red fox	9627	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Canidae; Vulpes	HLvulVul2	DNA Zoo Consortium	53406	139030359
Xerus inauris	South African ground squirrel	234690	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Sciuromorpha; Sciuridae; Xerinae; Xerini; Xerus	HLxerIna1	GCA_004024805.1	64054	83865
Zalophus californianus	California sea lion	9704	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Carnivora; Caniformia; Otariidae; Zalophus	HLzalCal1	GCA_009762305.1	60554208	146931682
Zapus hudsonius	meadow jumping mouse	160400	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Glires; Rodentia; Myomorpha; Dipodoidea; Dipodidae; Zapodinae; Zapus	HLzapHud1	GCA_004024765.1	23350	26350
Ziphius cavirostris	Cuvier's beaked whale	9760	Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Ziphiidae; Ziphius	HLzipCav1	GCA_004364475.1	3606	3608
